model,blas,cbench,chstone,mibench,npb,opencv,tensorflow,average
GPT-5.5,0.0530,0.5011,0.4937,0.5869,0.4257,0.0298,0.0191,0.3013
Gemini-3.1-Pro,0.0522,0.4965,0.4665,0.5988,0.4401,0.0248,0.0160,0.2993
Claude-Opus-4.7,0.0520,0.4973,0.5001,0.5855,0.3345,0.0242,0.0161,0.2871
DeepSeek-V3.2,0.0502,0.4905,0.5105,0.5912,0.4309,0.0321,0.0188,0.3035
GLM-4.5,0.0424,0.4937,0.4469,0.5494,0.3744,0.0212,0.0179,0.2780
Kimi-Dev-72B,0.0103,0.4687,0.4767,0.5471,0.3420,0.0287,0.0139,0.2696
Qwen3-Coder-480B,0.0510,0.4726,0.4842,0.5609,0.4196,0.0268,0.0148,0.2900
AwareCompiler,0.0621,0.5485,0.5524,0.6220,0.4778,0.0365,0.0195,0.3312
